Tue Jul  1 18:35:42 2014    timing.4

         2309495 function calls (2251965 primitive calls) in 91.244 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.007    0.007    0.081    0.081 /home/pi/ndn/PyNDN2/python/pyndn/control_parameters.py:24(<module>)
        1    0.001    0.001    0.080    0.080 /usr/local/lib/python2.7/dist-packages/Crypto/PublicKey/_slowmath.py:45(_unblind)
      954    0.058    0.000    0.078    0.000 /usr/lib/pymodules/python2.7/google/protobuf/internal/containers.py:189(__init__)
        1    0.000    0.000    0.075    0.075 /usr/local/lib/python2.7/dist-packages/Crypto/PublicKey/RSA.py:512(construct)
        1    0.000    0.000    0.074    0.074 /usr/local/lib/python2.7/dist-packages/Crypto/PublicKey/RSA.py:113(__init__)
        1    0.000    0.000    0.074    0.074 /usr/local/lib/python2.7/dist-packages/Crypto/Random/__init__.py:31(new)
        1    0.000    0.000    0.074    0.074 /usr/local/lib/python2.7/dist-packages/Crypto/Random/_UserFriendlyRNG.py:220(new)
        1    0.000    0.000    0.074    0.074 /usr/local/lib/python2.7/dist-packages/Crypto/Random/_UserFriendlyRNG.py:210(_get_singleton)
        1    0.000    0.000    0.074    0.074 /usr/local/lib/python2.7/dist-packages/Crypto/Random/_UserFriendlyRNG.py:157(__init__)
        1    0.000    0.000    0.074    0.074 /usr/local/lib/python2.7/dist-packages/Crypto/Random/_UserFriendlyRNG.py:83(__init__)
     6715    0.071    0.000    0.071    0.000 /home/pi/ndn/PyNDN2/python/pyndn/name.py:71(getValue)
     1916    0.071    0.000    0.071    0.000 /home/pi/ndn/PyNDN2/python/pyndn/name.py:327(clear)
        1    0.000    0.000    0.070    0.070 /usr/lib/pymodules/python2.7/google/protobuf/text_format.py:307(_Tokenizer)
     1909    0.059    0.000    0.067    0.000 /usr/lib/python2.7/threading.py:830(currentThread)
       83    0.016    0.000    0.067    0.001 /usr/lib/pymodules/python2.7/google/protobuf/internal/python_message.py:182(_AttachFieldHelpers)
     2886    0.066    0.000    0.066    0.000 /home/pi/ndn/PyNDN2/python/pyndn/name.py:606(__getitem__)
     1908    0.050    0.000    0.065    0.000 /home/pi/ndn/PyNDN2/python/pyndn/data.py:137(getSignature)
     4790    0.063    0.000    0.063    0.000 {method 'release' of 'thread.lock' objects}
        1    0.001    0.001    0.062    0.062 fixture.py:17(__init__)
        1    0.028    0.028    0.058    0.058 /usr/local/lib/python2.7/dist-packages/Crypto/Random/__init__.py:25(<module>)
     5730    0.057    0.000    0.057    0.000 /home/pi/ndn/PyNDN2/python/pyndn/encoding/tlv/tlv_decoder.py:130(finishNestedTlvs)
     2862    0.054    0.000    0.054    0.000 /usr/lib/pymodules/python2.7/google/protobuf/internal/python_message.py:674(SetListener)
        1    0.048    0.048    0.051    0.051 /usr/lib/python2.7/socket.py:45(<module>)
        2    0.000    0.000    0.049    0.025 /home/pi/ndn/PyNDN2/python/pyndn/interest.py:225(wireEncode)
        2    0.001    0.001    0.049    0.024 /home/pi/ndn/PyNDN2/python/pyndn/encoding/tlv_0_1_wire_format.py:46(encodeInterest)
       10    0.001    0.000    0.048    0.005 /usr/lib/python2.7/sre_compile.py:480(_code)
        1    0.000    0.000    0.048    0.048 /usr/local/lib/python2.7/dist-packages/Crypto/Random/_UserFriendlyRNG.py:168(reinit)
        1    0.000    0.000    0.047    0.047 /usr/local/lib/python2.7/dist-packages/Crypto/Random/_UserFriendlyRNG.py:89(reinit)
        1    0.004    0.004    0.047    0.047 /usr/local/lib/python2.7/dist-packages/Crypto/Random/_UserFriendlyRNG.py:58(reinit)
     1915    0.036    0.000    0.046    0.000 /home/pi/ndn/PyNDN2/python/pyndn/name.py:369(size)
       70    0.003    0.000    0.045    0.001 /usr/local/lib/python2.7/dist-packages/Crypto/Random/_UserFriendlyRNG.py:46(feed)
        1    0.032    0.032    0.045    0.045 /usr/lib/python2.7/ctypes/__init__.py:4(<module>)
        1    0.000    0.000    0.044    0.044 /home/pi/ndn/PyNDN2/python/pyndn/node.py:65(expressInterest)
        1    0.008    0.008    0.043    0.043 /usr/lib/python2.7/random.py:40(<module>)
        1    0.007    0.007    0.043    0.043 /home/pi/ndn/PyNDN2/python/pyndn/face.py:23(<module>)
      956    0.032    0.000    0.043    0.000 /home/pi/ndn/PyNDN2/python/pyndn/interest.py:91(getKeyLocator)
     1908    0.042    0.000    0.042    0.000 /usr/lib/python2.7/logging/__init__.py:1327(getEffectiveLevel)
       70    0.009    0.000    0.042    0.001 /usr/local/lib/python2.7/dist-packages/Crypto/Random/Fortuna/FortunaAccumulator.py:163(add_random_event)
        1    0.000    0.000    0.040    0.040 /home/pi/ndn/PyNDN2/python/pyndn/node.py:299(_extractEntriesForExpressedInterest)
       10    0.002    0.000    0.040    0.004 /usr/lib/python2.7/sre_parse.py:663(parse)
        1    0.000    0.000    0.040    0.040 /home/pi/ndn/PyNDN2/python/pyndn/interest.py:302(matchesName)
     4824    0.040    0.000    0.040    0.000 {method 'append' of 'list' objects}
