Tue Jul  1 11:53:13 2014    timing.2

         1539768 function calls (1503430 primitive calls) in 51.438 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    12327    0.084    0.000    0.084    0.000 /home/pi/PyNDN2/python/pyndn/encoding/tlv/tlv_encoder.py:41(__len__)
        1    0.067    0.067    0.083    0.083 /usr/lib/pymodules/python2.7/numpy/polynomial/chebyshev.py:78(<module>)
        6    0.000    0.000    0.083    0.014 /usr/lib/python2.7/string.py:148(substitute)
        1    0.067    0.067    0.083    0.083 /usr/lib/pymodules/python2.7/numpy/polynomial/hermite.py:50(<module>)
        6    0.054    0.009    0.082    0.014 {method 'sub' of '_sre.SRE_Pattern' objects}
        1    0.065    0.065    0.082    0.082 /usr/lib/pymodules/python2.7/numpy/polynomial/legendre.py:74(<module>)
        1    0.023    0.023    0.081    0.081 /usr/lib/pymodules/python2.7/numpy/ma/__init__.py:38(<module>)
        1    0.065    0.065    0.081    0.081 /usr/lib/pymodules/python2.7/numpy/polynomial/laguerre.py:50(<module>)
        1    0.003    0.003    0.079    0.079 /usr/local/lib/python2.7/dist-packages/Crypto/Random/__init__.py:25(<module>)
     3549    0.079    0.000    0.079    0.000 {built-in method __new__ of type object at 0x27ca88}
      587    0.053    0.000    0.078    0.000 /home/pi/PyNDN2/python/pyndn/encoding/binary_xml_structure_decoder.py:32(__init__)
      587    0.032    0.000    0.076    0.000 /usr/local/lib/python2.7/dist-packages/google/protobuf/internal/python_message.py:270(MakeRepeatedMessageDefault)
     1762    0.075    0.000    0.075    0.000 /home/pi/PyNDN2/python/pyndn/util/dynamic_byte_array.py:34(__init__)
     1200    0.023    0.000    0.074    0.000 /usr/lib/python2.7/sre_parse.py:201(get)
      586    0.052    0.000    0.074    0.000 /home/pi/PyNDN2/python/pyndn/key_locator.py:120(clear)
     2349    0.074    0.000    0.074    0.000 {binascii.hexlify}
       23    0.004    0.000    0.072    0.003 /usr/lib/python2.7/sre_compile.py:361(_compile_info)
        1    0.013    0.013    0.071    0.071 /home/pi/PyNDN2/python/pyndn/encoding/tlv_0_1_wire_format.py:20(<module>)
     1761    0.061    0.000    0.071    0.000 /usr/local/lib/python2.7/dist-packages/google/protobuf/internal/type_checkers.py:100(CheckValue)
        1    0.013    0.013    0.070    0.070 /usr/local/lib/python2.7/dist-packages/Crypto/Random/_UserFriendlyRNG.py:25(<module>)
        1    0.005    0.005    0.069    0.069 /home/pi/PyNDN2/python/pyndn/transport/__init__.py:20(<module>)
       91    0.016    0.000    0.069    0.001 /usr/local/lib/python2.7/dist-packages/google/protobuf/internal/python_message.py:191(_AttachFieldHelpers)
    10555    0.068    0.000    0.068    0.000 /home/pi/PyNDN2/python/pyndn/util/change_counter.py:40(get)
     1609    0.042    0.000    0.067    0.000 /usr/lib/python2.7/sre_parse.py:130(__getitem__)
